,CustomerID ,SimilarCustomerID  ,SimilarityScore
0,C0001,C0106           ,0.9901
1,C0001,C0153           ,0.9838
2,C0001,C0011           ,0.9805
3,C0002,C0199           ,0.9773
4,C0002,C0025,0.9496
5,C0002,C0166           ,0.948
6,C0003,C0142           ,0.9847
7,C0003,C0052           ,0.9701
8,C0003,C0190           ,0.9665
9,C0004,C0145           ,0.9897
10,C0004,C0102           ,0.9872
11,C0004,C0175           ,0.9835
12,C0005,C0131           ,0.9894
13,C0005,C0007           ,0.9819
14,C0005,C0132           ,0.9684
